SAMPLE,EV1,EV37,GT011,GT023,GT195,GT211,GT271,GT310,GT575,GATA028,GATA053,GATA098,GATA417,GGAA520,TAA023,ZFX
IC-83-B8-18,159171,183197,119129,127133,161173,120122,116128,110112,154158,211219,246262,100104,265277,227227,086086,245245
IC-83-B8-19,157175,193193,125125,127129,173173,118120,108116,110112,154158,211235,246262,100104,269277,207211,086086,212245
IC-83-B8-20,157157,197199,119131,129129,161171,112118,114116,110112,152160,199235,000000,104104,265277,203219,086095,212245
IC-83-B8-21,157157,181195,125129,125133,169169,106120,116118,122126,152160,211227,246262,096104,277281,207227,086101,245245
IC-83-B8-22,157159,195213,127127,129129,173175,110120,116118,110112,154154,191223,246262,100108,269281,219219,095101,245245
IC-83-B8-23,159169,187191,127127,129129,173175,120122,116116,114126,146152,227235,246246,096100,225233,219223,086101,245245
IC-83-B8-24,157173,179187,119125,125129,171175,120122,116118,112112,146152,191227,246246,100104,225237,207211,086095,245245
IC-83-B8-25,163169,193199,123129,123125,171175,112116,114118,110126,152154,215231,246270,096100,217269,215223,098101,212245
IC-83-B8-26,157159,193197,123129,129129,171171,120122,108114,114126,152154,203227,246262,100100,269277,207219,095101,245245
IC-83-B8-27,165173,185193,119127,133133,173177,116120,116120,112122,154154,223227,262266,096108,213265,219219,086095,212245
IC-83-B8-28,163163,183183,123129,129143,161175,116120,116118,110114,152158,223231,246266,096104,277285,207207,095095,212245
IC-83-B8-29,157169,187197,119123,129129,171173,120120,114116,110116,154160,223223,262270,104104,269281,207211,095101,212245
IC-83-B8-30,157163,183187,119131,127133,175181,116116,116116,108108,154154,207227,266270,088096,000000,207215,092098,245245
IC-83-B8-31,157163,193195,127127,127129,167173,118120,116118,110122,154154,207227,262270,100108,225269,207231,086104,245245
IC-83-B8-32,157159,191193,125125,129129,161171,112114,112016,110112,154154,207227,246266,100108,217225,219223,092101,245245
IC-83-B8-33,157165,193195,117119,121133,161179,106120,108116,110112,146152,227227,262266,100108,217269,207227,095101,212245
IC-83-B8-34,159169,183199,117127,129133,167169,106116,116116,110112,154156,191207,246246,100108,225269,207219,101101,212245
IC-83-B8-35,169169,183193,117117,127129,161175,120120,116116,110112,146152,207223,262266,104104,265269,207211,095104,245245
IC-83-B8-36,169173,191193,123127,125125,161173,120122,108116,110120,150152,191223,262262,100104,281289,227231,086086,212245
IC-83-B8-37,157157,187193,117127,123131,161173,120120,116116,114124,154156,223227,262266,096108,213285,211223,086104,245245
IC-83-B8-39,163169,193197,123129,125127,171173,106112,114122,106106,152154,227231,246266,104108,225273,000000,095104,212245
IC-83-B8-40,159163,191191,117129,123129,161169,120120,114114,112112,154154,199227,246262,096108,225265,203207,086095,212245
IC-83-B8-41,163173,183183,119127,125125,161173,000000,122122,112124,154154,211227,246266,092096,000000,207227,095101,212245
IC-83-B8-42,157175,191199,125127,123125,173177,114118,116116,124126,152154,207231,246246,104108,269269,211215,086104,245245
IC-83-B8-43,163163,187207,117129,125133,175175,118120,108116,110124,154154,227231,246262,096108,217229,207211,095101,245245
IC-83-B8-78,157157,197197,127127,127127,169169,116116,116116,110112,154156,191203,246246,096108,285285,203207,086086,245245
IC-83-B8-79,157171,197197,127129,129135,161175,116120,116116,112112,152154,215215,246270,096104,225269,207211,086095,212245
